Country,Sav_Fir,For_Fir,Org_Fir,Hum_Fir
Afghanistan,467.73629999999997,1.7817999999999996,0.0,0.0
Albania,169.863,214.53450000000004,0.0,0.0
Algeria,1734.9515000000001,2596.7794,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0
Angola,781852.4509000002,475611.6645000001,0.0,465951.3902999999
Anguilla,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0
Argentina,87461.2275,34646.6759,0.0,17151.584499999994
Armenia,122.2,25.2283,0.0,0.0
Aruba,0.0,0.0,0.0,0.0
Australia,1710375.9671999998,135325.31699999998,0.0,4535.987200000001
Austria,1.7820999999999998,14.222100000000001,0.0,0.0
Azerbaijan,773.42,96.30169999999998,0.0,0.0
Bahamas,327.0211,1445.183,0.0,1008.9735000000001
Bahrain,0.0,0.0,0.0,0.0
Bangladesh,639.8757000000002,3746.9959999999987,0.0,3746.9959999999987
Barbados,0.4332,0.0,0.0,0.0
Belarus,274.964,864.2339,0.0,0.0
Belgium,0.8386,0.8796999999999999,0.0,0.0
Belgium-Luxembourg,0.19759999999999997,1.4401,0.0,0.0
Belize,414.4473,2912.2954999999997,0.0,2912.2954999999997
Benin,31636.6464,9522.792599999999,0.0,4556.937300000001
Bermuda,0.0,0.0,0.0,0.0
Bhutan,44.8484,742.6287,0.0,220.71589999999998
Bolivia (Plurinational State of),60799.58490000001,207210.26589999997,0.0,195623.8667
Bosnia and Herzegovina,198.5674,465.1204,0.0,0.0
Botswana,159401.7088,1412.3402,0.0,0.0
Brazil,346444.62710000004,379448.8537,0.0,371446.06250000006
British Virgin Islands,0.0,0.3422,0.0,0.3422
Brunei Darussalam,2.4240000000000004,476.31410000000005,6663.968900000002,476.31410000000005
Bulgaria,170.6364,197.04739999999995,0.0,0.0
Burkina Faso,50418.54550000001,11548.600100000001,0.0,1710.9409999999998
Burundi,764.9351,179.36310000000006,0.0,26.730299999999996
Cabo Verde,0.0,0.0,0.0,0.0
Cambodia,37187.123100000004,155858.16270000002,0.0,83195.59580000001
Cameroon,72130.6081,45774.40669999999,0.0,41568.530499999986
Canada,25046.675499999994,49856.22110000001,0.0,0.0
Cayman Islands,0.0,0.0,0.0,0.0
Central African Republic,382161.43769999995,619380.5841999998,0.0,587556.2628999999
Chad,167115.48390000002,66529.06880000001,0.0,40169.9351
Channel Islands,0.0,0.0,1.8026342797312382,0.0
Chile,938.562,5815.732500000001,0.0,0.0
China,9933.083900000001,26365.6801,0.0,58.12780000000001
"China, Hong Kong SAR",8.469899999999999,6.9827,0.0,0.0
"China, Macao SAR",0.0,0.0,0.0,0.0
"China, mainland",9923.0584,26348.993300000002,0.0,58.12780000000001
"China, Taiwan Province of",1.5556,9.7049,0.0,0.0
Colombia,44536.158200000005,11339.5438,0.0,10393.2543
Comoros,19.05380000000001,61.644500000000015,0.0,61.644500000000015
Congo,56422.8057,12889.5304,0.0,12847.980599999999
Cook Islands,0.0,0.0,0.0,0.0
Costa Rica,347.24820000000005,878.3902999999998,0.0,693.5999
Croatia,150.09970000000007,208.2906,0.0,0.0
Cuba,1628.8309000000004,1785.05,0.0,1619.2768999999998
Cyprus,28.715899999999994,0.465,0.0,0.0
Czechia,2.073,14.010200000000001,0.0,0.0
Czechoslovakia,0.27540000000000003,2.5251,0.0,0.0
Democratic People's Republic of Korea,160.0027,3529.5770000000007,0.0,0.0
Democratic Republic of the Congo,654483.7235999999,949466.1154,0.0,939195.5427000001
Denmark,1.7914999999999999,1.9899,0.0,0.0
Djibouti,0.0436,0.0045000000000000005,0.0,0.0
Dominica,0.0,0.0,0.0,0.0
Dominican Republic,253.02560000000008,439.20110000000005,0.0,106.52539999999999
Ecuador,486.2447,320.73189999999994,0.0,41.541599999999995
Egypt,37.06900000000001,1.8499999999999999,0.0,0.0
El Salvador,99.4879,211.72530000000003,0.0,83.5181
Equatorial Guinea,0.0319,6.7105,0.0,6.7105
Eritrea,638.4479000000001,58.853500000000004,0.0,0.0
Estonia,7.813500000000001,24.942700000000006,0.0,0.0
Eswatini,1258.5404000000003,1157.1140999999996,0.0,0.0
Ethiopia,107784.1625,42265.9721,0.0,11704.4964
Ethiopia PDR,11554.1598,4528.9257,0.0,1249.0104
Falkland Islands (Malvinas),15.609300000000001,0.4575,0.0,0.0
Faroe Islands,0.0,0.0,0.0,0.0
Fiji,29.939900000000005,151.47490000000005,0.0,151.47490000000005
Finland,20.8775,21.256399999999996,0.0,0.0
France,181.45489999999998,648.2344999999998,0.0,0.0
French Polynesia,0.0,0.2316,0.0,0.2316
Gabon,6331.7255,1456.1794,0.0,1454.1855
Gambia,3126.4572,2690.6997,0.0,831.0718
Georgia,144.2401,180.0805,0.0,0.0
Germany,2.9051000000000005,33.0099,0.0,0.0
Ghana,115896.51040000001,6115.9242,0.0,5841.242399999999
Gibraltar,0.18070000000000003,1.6708,0.0,0.0
Greece,471.99610000000007,696.6046999999999,0.0,0.0
Greenland,2.5099,0.0,0.0,0.0
Grenada,0.0,0.1376,0.0,0.1376
Guadeloupe,0.0,0.0,0.0,0.0
Guam,0.0,0.0,0.0,0.0
Guatemala,3599.8807,15931.304899999997,0.0,15481.217000000002
Guinea,88008.6938,7829.8469,0.0,7707.8671
Guinea-Bissau,9813.714200000002,10877.0251,0.0,10877.0251
Guyana,999.3807,1109.717,0.0,1072.4923000000003
Haiti,14.718599999999999,2.0542,0.0,1.5764
Holy See,0.0,0.0,1.8026342797312382,0.0
Honduras,4255.802300000001,13554.838200000002,0.0,11524.179799999998
Hungary,19.620700000000003,46.78460000000001,0.0,0.0
Iceland,1.3119999999999998,0.0,0.0,0.0
India,9966.0434,135900.2938,0.0,38922.141400000015
Indonesia,15075.7614,152562.97229999994,8003769.7157000005,149972.91569999998
Iran (Islamic Republic of),2073.0298,255.1428,0.0,0.0
Iraq,2421.1991000000003,128.71890000000002,0.0,0.0
Ireland,35.5036,13.3921,0.0,0.0
Isle of Man,0.0027,0.0278,0.0,0.0
Israel,21.6851,0.10919999999999999,0.0,0.0
Italy,238.75659999999993,508.14639999999997,0.0,0.0
Jamaica,9.942900000000002,25.4203,0.0,24.941899999999997
Japan,32.9507,424.58729999999997,0.0,0.0
Jordan,1.5375,0.0,0.0,0.0
Kazakhstan,112660.7353,1118.3855,0.0,0.0
Kenya,6555.750700000001,765.6820999999999,0.0,11.750800000000002
Kiribati,0.0,0.0,0.0,0.0
Kuwait,0.0164,0.0,0.0,0.0
Kyrgyzstan,162.30819999999997,26.334999999999997,0.0,0.0
Lao People's Democratic Republic,6797.5628,74692.3184,0.0,42494.784799999994
Latvia,16.7196,49.26689999999999,0.0,0.0
Lebanon,6.518799999999999,0.7691,0.0,0.0
Lesotho,1363.3318000000002,241.66140000000001,0.0,0.0
